,ID,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
5,34,1,0,1,0,1,0,1,0,1,0,1,0
10,71,1,0,1,0,1,0,1,0,1,0,1,0
43,287,1,0,1,0,1,0,1,0,1,0,1,0
80,468,1,0,1,0,1,0,1,0,1,0,1,0
90,514,1,0,1,0,1,0,1,0,1,0,1,0
92,516,1,0,1,0,1,0,1,0,1,0,1,0
99,602,1,0,1,0,1,0,1,0,1,0,1,0
117,744,1,0,1,0,1,0,1,0,1,0,1,0
148,897,1,0,1,0,1,0,1,0,1,0,1,0
212,1363,1,0,1,0,1,0,1,0,1,0,1,0
214,1378,1,0,1,0,1,0,1,0,1,0,1,0
217,1394,1,0,1,0,1,0,1,0,1,0,1,0
233,1482,1,0,1,0,1,0,1,0,1,0,1,0
285,1847,1,0,1,0,1,0,1,0,1,0,1,0
287,1855,1,0,1,0,1,0,1,0,1,0,1,0
289,1877,1,0,1,0,1,0,1,0,1,0,1,0
345,2196,1,0,1,0,1,0,1,0,1,0,1,0
359,2280,1,0,1,0,1,0,1,0,1,0,1,0
376,2373,1,0,1,0,1,0,1,0,1,0,1,0
385,2414,1,0,1,0,1,0,1,0,1,0,1,0
401,2510,1,0,1,0,1,0,1,0,1,0,1,0
414,2590,1,0,1,0,1,0,1,0,1,0,1,0
437,2723,1,0,1,0,1,0,1,0,1,0,1,0
470,2926,1,0,1,0,1,0,1,0,1,0,1,0
489,3048,1,0,1,0,1,0,1,0,1,0,1,0
495,3091,1,0,1,0,1,0,1,0,1,0,1,0
507,3168,1,0,1,0,1,0,1,0,1,0,1,0
511,3215,1,0,1,0,1,0,1,0,1,0,1,0
530,3291,1,0,1,0,1,0,1,0,1,0,1,0
539,3365,1,0,1,0,1,0,1,0,1,0,1,0
544,3394,1,0,1,0,1,0,1,0,1,0,1,0
549,3441,1,0,1,0,1,0,1,0,1,0,1,0
555,3471,1,0,1,0,1,0,1,0,1,0,1,0
559,3509,1,0,1,0,1,0,1,0,1,0,1,0
564,3526,1,0,1,0,1,0,1,0,1,0,1,0
579,3589,1,0,1,0,1,0,1,0,1,0,1,0
586,3656,1,0,1,0,1,0,1,0,1,0,1,0
593,3700,1,0,1,0,1,0,1,0,1,0,1,0
599,3741,1,0,1,0,1,0,1,0,1,0,1,0
607,3788,1,0,1,0,1,0,1,0,1,0,1,0
614,3846,1,0,1,0,1,0,1,0,1,0,1,0
632,3937,1,0,1,0,1,0,1,0,1,0,1,0
637,3991,1,0,1,0,1,0,1,0,1,0,1,0
638,3993,1,0,1,0,1,0,1,0,1,0,1,0
670,4206,1,0,1,0,1,0,1,0,1,0,1,0
681,4286,1,0,1,0,1,0,1,0,1,0,1,0
694,4392,1,0,1,0,1,0,1,0,1,0,1,0
708,4507,1,0,1,0,1,0,1,0,1,0,1,0
736,4732,1,0,1,0,1,0,1,0,1,0,1,0
749,4807,1,0,1,0,1,0,1,0,1,0,1,0
755,4845,1,0,1,0,1,0,1,0,1,0,1,0
762,4874,1,0,1,0,1,0,1,0,1,0,1,0
777,4951,1,0,1,0,1,0,1,0,1,0,1,0
787,5008,1,0,1,0,1,0,1,0,1,0,1,0
788,5016,1,0,1,0,1,0,1,0,1,0,1,0
791,5032,1,0,1,0,1,0,1,0,1,0,1,0
792,5040,1,0,1,0,1,0,1,0,1,0,1,0
818,5220,1,0,1,0,1,0,1,0,1,0,1,0
835,5328,1,0,1,0,1,0,1,0,1,0,1,0
855,5471,1,0,1,0,1,0,1,0,1,0,1,0
863,5562,1,0,1,0,1,0,1,0,1,0,1,0
881,5666,1,0,1,0,1,0,1,0,1,0,1,0
890,5734,1,0,1,0,1,0,1,0,1,0,1,0
891,5735,1,0,1,0,1,0,1,0,1,0,1,0
892,5753,1,0,1,0,1,0,1,0,1,0,1,0
895,5765,1,0,1,0,1,0,1,0,1,0,1,0
906,5826,1,0,1,0,1,0,1,0,1,0,1,0
913,5865,1,0,1,0,1,0,1,0,1,0,1,0
942,6069,1,0,1,0,1,0,1,0,1,0,1,0
953,6133,1,0,1,0,1,0,1,0,1,0,1,0
955,6153,1,0,1,0,1,0,1,0,1,0,1,0
959,6179,1,0,1,0,1,0,1,0,1,0,1,0
964,6210,1,0,1,0,1,0,1,0,1,0,1,0
967,6231,1,0,1,0,1,0,1,0,1,0,1,0
969,6235,1,0,1,0,1,0,1,0,1,0,1,0
986,6342,1,0,1,0,1,0,1,0,1,0,1,0
1024,6615,0,1,0,0,1,0,0,1,0,0,1,0
1029,6669,1,0,1,0,1,0,1,0,1,0,1,0
1032,6694,1,0,1,0,1,0,1,0,1,0,1,0
1040,6755,1,0,1,0,1,0,1,0,1,0,1,0
1045,6791,1,0,1,0,1,0,1,0,1,0,1,0
1047,6800,1,0,1,0,1,0,1,0,1,0,1,0
1051,6825,1,0,1,0,1,0,1,0,1,0,1,0
1075,6957,1,0,1,0,1,0,1,0,1,0,1,0
1080,6965,1,0,1,0,1,0,1,0,1,0,1,0
1111,7227,1,0,1,0,1,0,1,0,1,0,1,0
1119,7282,1,0,1,0,1,0,1,0,1,0,1,0
1126,7364,1,0,1,0,1,0,1,0,1,0,1,0
1128,7375,1,0,1,0,1,0,1,0,1,0,1,0
1134,7406,1,0,1,0,1,0,1,0,1,0,1,0
1140,7444,1,0,1,0,1,0,1,0,1,0,1,0
1147,7491,1,0,1,0,1,0,1,0,1,0,1,0
1152,7541,1,0,1,0,1,0,1,0,1,0,1,0
1166,7680,1,0,1,0,1,0,1,0,1,0,1,0
1189,7833,1,0,1,0,1,0,1,0,1,0,1,0
1205,7974,1,0,1,0,1,0,1,0,1,0,1,0
1208,7992,1,0,1,0,1,0,1,0,1,0,1,0
1226,8092,1,0,1,0,1,0,1,0,1,0,1,0
1233,8141,1,0,1,0,1,0,1,0,1,0,1,0
1256,8300,1,0,1,0,1,0,1,0,1,0,1,0
1275,8388,1,0,1,0,1,0,1,0,1,0,1,0
1285,8431,1,0,1,0,1,0,1,0,1,0,1,0
1312,8606,1,0,1,0,1,0,1,0,1,0,1,0
1333,8776,1,0,1,0,1,0,1,0,1,0,1,0
1342,8834,1,0,1,0,1,0,1,0,1,0,1,0
1360,8956,1,0,1,0,1,0,1,0,1,0,1,0
1364,8971,1,0,1,0,1,0,1,0,1,0,1,0
1366,8991,1,0,1,0,1,0,1,0,1,0,1,0
1411,9337,1,0,1,0,1,0,1,0,1,0,1,0
1414,9369,1,0,1,0,1,0,1,0,1,0,1,0
1421,9418,1,0,1,0,1,0,1,0,1,0,1,0
1433,9512,1,0,1,0,1,0,1,0,1,0,1,0
1442,9549,1,0,1,0,1,0,1,0,1,0,1,0
1460,9658,1,0,1,0,1,0,1,0,1,0,1,0
1465,9689,1,0,1,0,1,0,1,0,1,0,1,0
