,ID,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
4,32,0,1,0,0,0,1,0,0,0,1,0,0
5,34,1,0,1,0,1,0,1,0,1,0,1,0
7,42,1,0,1,0,1,0,1,0,1,0,1,0
9,70,0,1,0,0,1,0,0,1,0,0,1,0
10,71,1,0,1,0,1,0,1,0,1,0,1,0
11,79,1,0,0,0,1,0,0,0,1,0,0,0
14,103,0,1,0,0,0,1,0,0,0,1,0,0
15,108,0,0,1,0,0,1,0,0,1,0,0,1
18,135,0,1,0,0,0,1,0,0,0,1,0,0
21,140,0,0,0,0,1,0,0,0,1,0,0,0
22,171,1,0,0,0,1,0,0,0,1,0,0,0
27,188,1,0,1,0,1,0,1,0,1,0,1,0
29,221,0,0,0,1,0,0,0,1,0,0,0,1
30,222,0,0,0,0,1,0,0,0,1,0,0,0
31,235,1,0,1,0,1,0,1,0,1,0,1,0
32,238,0,0,1,0,0,1,0,0,1,0,0,1
38,258,0,0,0,0,1,0,0,0,1,0,0,0
43,287,1,0,1,0,1,0,1,0,1,0,1,0
45,296,0,0,0,1,0,0,0,1,0,0,0,1
47,307,1,0,1,0,1,0,1,0,1,0,1,0
49,325,0,0,0,1,0,0,0,1,0,0,0,1
50,326,0,1,0,0,0,1,0,0,0,1,0,0
54,338,1,0,1,0,1,0,1,0,1,0,1,0
57,359,1,0,0,0,1,0,0,0,1,0,0,0
59,365,1,0,0,0,1,0,0,0,1,0,0,0
67,415,0,0,0,1,0,0,0,1,0,0,0,1
75,443,0,0,1,0,0,1,0,0,1,0,0,1
76,449,0,1,0,0,1,0,0,1,0,0,1,0
80,468,1,0,1,0,1,0,1,0,1,0,1,0
81,469,0,1,0,0,0,1,0,0,0,1,0,0
83,480,0,0,0,1,0,0,0,1,0,0,0,1
87,502,0,0,1,0,0,0,1,0,0,0,1,0
88,503,0,0,0,1,0,0,0,1,0,0,0,1
90,514,1,0,1,0,1,0,1,0,1,0,1,0
92,516,1,0,1,0,1,0,1,0,1,0,1,0
95,553,1,0,1,0,1,0,1,0,1,0,1,0
99,602,1,0,1,0,1,0,1,0,1,0,1,0
103,644,1,0,1,0,1,0,1,0,1,0,1,0
108,693,0,0,0,1,0,0,0,1,0,0,0,1
109,700,0,0,0,0,1,0,0,0,1,0,0,0
111,706,0,0,1,0,0,0,1,0,0,0,1,0
115,721,1,0,0,0,1,0,0,0,1,0,0,0
117,744,1,0,1,0,1,0,1,0,1,0,1,0
119,755,0,1,0,0,1,0,0,1,0,0,1,0
123,783,1,0,1,0,1,0,1,0,1,0,1,0
129,827,0,1,0,0,1,0,0,1,0,0,1,0
130,828,0,0,1,0,0,1,0,0,1,0,0,1
131,832,0,0,1,0,0,1,0,0,1,0,0,1
143,883,1,0,0,1,0,0,1,0,0,1,0,0
145,888,1,0,0,1,0,0,1,0,0,1,0,0
147,892,0,1,0,0,0,1,0,0,0,1,0,0
148,897,1,0,1,0,1,0,1,0,1,0,1,0
152,921,1,0,0,1,0,0,1,0,0,1,0,0
156,930,0,0,0,0,1,0,0,0,1,0,0,0
157,932,1,0,0,1,0,0,1,0,0,1,0,0
159,944,0,0,1,0,0,0,1,0,0,0,1,0
162,983,0,1,0,0,0,1,0,0,0,1,0,0
163,984,1,0,0,0,1,0,0,0,1,0,0,0
166,1012,0,0,1,0,0,0,1,0,0,0,1,0
167,1016,1,0,1,0,1,0,1,0,1,0,1,0
168,1023,0,0,0,0,1,0,0,0,1,0,0,0
169,1028,1,0,0,0,1,0,0,0,1,0,0,0
171,1050,0,0,0,1,0,0,0,1,0,0,0,1
172,1056,1,0,0,1,0,0,1,0,0,1,0,0
174,1068,1,0,1,0,1,0,1,0,1,0,1,0
175,1069,0,1,0,0,1,0,0,1,0,0,1,0
176,1071,0,0,0,0,1,0,0,0,1,0,0,0
183,1137,1,0,1,0,1,0,1,0,1,0,1,0
190,1174,1,0,0,0,1,0,0,0,1,0,0,0
191,1180,0,0,1,0,0,0,1,0,0,0,1,0
192,1186,0,0,1,0,0,1,0,0,1,0,0,1
198,1241,0,0,0,1,0,0,0,1,0,0,0,1
201,1279,1,0,1,0,1,0,1,0,1,0,1,0
204,1305,1,0,1,0,1,0,1,0,1,0,1,0
205,1308,0,1,0,0,1,0,0,1,0,0,1,0
207,1325,0,0,0,1,0,0,0,1,0,0,0,1
208,1335,0,1,0,0,0,1,0,0,0,1,0,0
210,1349,1,0,1,0,1,0,1,0,1,0,1,0
211,1355,0,1,0,0,0,1,0,0,0,1,0,0
212,1363,1,0,1,0,1,0,1,0,1,0,1,0
213,1377,1,0,1,0,1,0,1,0,1,0,1,0
214,1378,1,0,1,0,1,0,1,0,1,0,1,0
215,1383,0,0,0,0,1,0,0,0,1,0,0,0
216,1390,0,1,0,0,1,0,0,1,0,0,1,0
217,1394,1,0,1,0,1,0,1,0,1,0,1,0
218,1402,0,0,1,0,0,1,0,0,1,0,0,1
221,1420,1,0,0,1,0,0,1,0,0,1,0,0
222,1426,0,1,0,0,0,1,0,0,0,1,0,0
223,1427,1,0,0,0,1,0,0,0,1,0,0,0
224,1433,0,0,0,1,0,0,0,1,0,0,0,1
229,1453,1,0,0,0,1,0,0,0,1,0,0,0
230,1455,0,1,0,0,0,1,0,0,0,1,0,0
231,1463,0,0,0,0,1,0,0,0,1,0,0,0
232,1480,0,0,1,0,0,0,1,0,0,0,1,0
233,1482,1,0,1,0,1,0,1,0,1,0,1,0
234,1489,0,0,0,1,0,0,0,1,0,0,0,1
244,1549,0,0,0,0,1,0,0,0,1,0,0,0
249,1576,1,0,1,0,1,0,1,0,1,0,1,0
250,1581,0,1,0,0,0,1,0,0,0,1,0,0
261,1685,0,0,1,0,0,0,1,0,0,0,1,0
264,1706,1,0,1,0,1,0,1,0,1,0,1,0
271,1751,0,1,0,0,0,1,0,0,0,1,0,0
272,1766,0,0,1,0,0,1,0,0,1,0,0,1
276,1780,1,0,1,0,1,0,1,0,1,0,1,0
280,1819,1,0,1,0,1,0,1,0,1,0,1,0
282,1827,0,0,1,0,0,1,0,0,1,0,0,1
285,1847,1,0,1,0,1,0,1,0,1,0,1,0
287,1855,1,0,1,0,1,0,1,0,1,0,1,0
288,1857,0,1,0,0,0,1,0,0,0,1,0,0
289,1877,1,0,1,0,1,0,1,0,1,0,1,0
290,1878,1,0,0,1,0,0,1,0,0,1,0,0
291,1901,1,0,1,0,1,0,1,0,1,0,1,0
297,1944,0,0,1,0,0,1,0,0,1,0,0,1
299,1952,1,0,1,0,1,0,1,0,1,0,1,0
303,1969,0,0,1,0,0,0,1,0,0,0,1,0
306,2002,1,0,1,0,1,0,1,0,1,0,1,0
309,2031,1,0,0,0,1,0,0,0,1,0,0,0
315,2059,0,0,0,0,1,0,0,0,1,0,0,0
317,2067,1,0,1,0,1,0,1,0,1,0,1,0
319,2076,0,0,0,1,0,0,0,1,0,0,0,1
323,2093,0,0,1,0,0,0,1,0,0,0,1,0
325,2118,1,0,1,0,1,0,1,0,1,0,1,0
326,2120,0,0,1,0,0,1,0,0,1,0,0,1
327,2125,1,0,1,0,1,0,1,0,1,0,1,0
333,2137,1,0,1,0,1,0,1,0,1,0,1,0
335,2140,1,0,1,0,1,0,1,0,1,0,1,0
336,2145,0,0,1,0,0,0,1,0,0,0,1,0
342,2175,0,0,0,0,1,0,0,0,1,0,0,0
345,2196,1,0,1,0,1,0,1,0,1,0,1,0
353,2221,1,0,0,0,1,0,0,0,1,0,0,0
354,2223,1,0,1,0,1,0,1,0,1,0,1,0
355,2247,1,0,1,0,1,0,1,0,1,0,1,0
359,2280,1,0,1,0,1,0,1,0,1,0,1,0
360,2282,1,0,1,0,1,0,1,0,1,0,1,0
362,2296,0,0,0,0,1,0,0,0,1,0,0,0
363,2301,1,0,1,0,1,0,1,0,1,0,1,0
365,2304,0,0,1,0,0,0,1,0,0,0,1,0
367,2317,0,0,1,0,0,1,0,0,1,0,0,1
370,2342,1,0,1,0,1,0,1,0,1,0,1,0
371,2344,1,0,1,0,1,0,1,0,1,0,1,0
372,2355,0,0,1,0,0,0,1,0,0,0,1,0
374,2358,0,0,0,1,0,0,0,1,0,0,0,1
375,2359,0,0,1,0,0,1,0,0,1,0,0,1
376,2373,1,0,1,0,1,0,1,0,1,0,1,0
378,2376,1,0,0,0,1,0,0,0,1,0,0,0
380,2392,0,1,0,0,0,1,0,0,0,1,0,0
381,2397,0,0,1,0,0,0,1,0,0,0,1,0
384,2409,1,0,1,0,1,0,1,0,1,0,1,0
385,2414,1,0,1,0,1,0,1,0,1,0,1,0
388,2444,0,1,0,0,1,0,0,1,0,0,1,0
393,2455,1,0,1,0,1,0,1,0,1,0,1,0
394,2460,0,1,0,0,1,0,0,1,0,0,1,0
401,2510,1,0,1,0,1,0,1,0,1,0,1,0
402,2515,0,0,0,1,0,0,0,1,0,0,0,1
404,2533,0,0,0,0,1,0,0,0,1,0,0,0
406,2541,1,0,0,0,1,0,0,0,1,0,0,0
407,2544,1,0,1,0,1,0,1,0,1,0,1,0
408,2548,0,1,0,0,0,1,0,0,0,1,0,0
410,2567,0,0,1,0,0,1,0,0,1,0,0,1
412,2575,0,1,0,0,0,1,0,0,0,1,0,0
414,2590,1,0,1,0,1,0,1,0,1,0,1,0
417,2604,0,0,1,0,0,0,1,0,0,0,1,0
419,2613,0,0,0,1,0,0,0,1,0,0,0,1
420,2617,0,0,0,0,1,0,0,0,1,0,0,0
421,2621,0,0,0,1,0,0,0,1,0,0,0,1
423,2625,0,0,0,0,1,0,0,0,1,0,0,0
426,2652,1,0,1,0,1,0,1,0,1,0,1,0
428,2655,0,0,0,1,0,0,0,1,0,0,0,1
429,2662,1,0,0,1,0,0,1,0,0,1,0,0
437,2723,1,0,1,0,1,0,1,0,1,0,1,0
445,2789,0,0,0,1,0,0,0,1,0,0,0,1
451,2807,0,0,0,1,0,0,0,1,0,0,0,1
452,2809,0,0,1,0,0,0,1,0,0,0,1,0
454,2827,1,0,1,0,1,0,1,0,1,0,1,0
457,2839,0,0,1,0,0,0,1,0,0,0,1,0
458,2843,0,1,0,0,1,0,0,1,0,0,1,0
460,2875,0,0,1,0,0,1,0,0,1,0,0,1
462,2899,0,0,0,1,0,0,0,1,0,0,0,1
465,2906,1,0,1,0,1,0,1,0,1,0,1,0
468,2920,0,0,0,1,0,0,0,1,0,0,0,1
469,2925,0,0,0,0,1,0,0,0,1,0,0,0
470,2926,1,0,1,0,1,0,1,0,1,0,1,0
473,2941,0,1,0,0,0,1,0,0,0,1,0,0
474,2943,0,1,0,0,0,1,0,0,0,1,0,0
476,2963,1,0,1,0,1,0,1,0,1,0,1,0
478,2976,0,1,0,0,0,1,0,0,0,1,0,0
479,2987,0,0,1,0,0,1,0,0,1,0,0,1
482,2997,1,0,1,0,1,0,1,0,1,0,1,0
485,3012,1,0,1,0,1,0,1,0,1,0,1,0
488,3032,0,1,0,0,1,0,0,1,0,0,1,0
489,3048,1,0,1,0,1,0,1,0,1,0,1,0
490,3050,0,1,0,0,1,0,0,1,0,0,1,0
494,3078,0,1,0,0,0,1,0,0,0,1,0,0
495,3091,1,0,1,0,1,0,1,0,1,0,1,0
496,3108,1,0,1,0,1,0,1,0,1,0,1,0
507,3168,1,0,1,0,1,0,1,0,1,0,1,0
508,3170,1,0,0,0,1,0,0,0,1,0,0,0
509,3178,0,0,0,0,1,0,0,0,1,0,0,0
511,3215,1,0,1,0,1,0,1,0,1,0,1,0
517,3237,0,1,0,0,1,0,0,1,0,0,1,0
520,3252,0,1,0,0,1,0,0,1,0,0,1,0
523,3260,0,0,1,0,0,0,1,0,0,0,1,0
524,3266,0,1,0,0,0,1,0,0,0,1,0,0
525,3276,0,0,0,0,1,0,0,0,1,0,0,0
530,3291,1,0,1,0,1,0,1,0,1,0,1,0
539,3365,1,0,1,0,1,0,1,0,1,0,1,0
540,3366,0,1,0,0,0,1,0,0,0,1,0,0
541,3370,0,1,0,0,0,1,0,0,0,1,0,0
544,3394,1,0,1,0,1,0,1,0,1,0,1,0
546,3414,0,0,0,0,1,0,0,0,1,0,0,0
547,3434,1,0,1,0,1,0,1,0,1,0,1,0
549,3441,1,0,1,0,1,0,1,0,1,0,1,0
555,3471,1,0,1,0,1,0,1,0,1,0,1,0
557,3502,0,0,0,0,1,0,0,0,1,0,0,0
559,3509,1,0,1,0,1,0,1,0,1,0,1,0
560,3510,0,0,0,1,0,0,0,1,0,0,0,1
562,3515,1,0,0,0,1,0,0,0,1,0,0,0
564,3526,1,0,1,0,1,0,1,0,1,0,1,0
571,3558,1,0,1,0,1,0,1,0,1,0,1,0
573,3565,0,0,0,1,0,0,0,1,0,0,0,1
577,3585,0,1,0,0,1,0,0,1,0,0,1,0
579,3589,1,0,1,0,1,0,1,0,1,0,1,0
581,3598,0,0,0,0,1,0,0,0,1,0,0,0
582,3601,0,1,0,0,0,1,0,0,0,1,0,0
583,3605,1,0,0,1,0,0,1,0,0,1,0,0
585,3648,0,0,1,0,0,1,0,0,1,0,0,1
586,3656,1,0,1,0,1,0,1,0,1,0,1,0
587,3657,0,0,0,0,1,0,0,0,1,0,0,0
589,3683,1,0,0,1,0,0,1,0,0,1,0,0
592,3697,0,0,0,0,1,0,0,0,1,0,0,0
593,3700,1,0,1,0,1,0,1,0,1,0,1,0
599,3741,1,0,1,0,1,0,1,0,1,0,1,0
602,3750,0,1,0,0,1,0,0,1,0,0,1,0
603,3751,0,0,1,0,0,1,0,0,1,0,0,1
605,3769,1,0,0,0,1,0,0,0,1,0,0,0
607,3788,1,0,1,0,1,0,1,0,1,0,1,0
609,3810,1,0,1,0,1,0,1,0,1,0,1,0
611,3823,1,0,1,0,1,0,1,0,1,0,1,0
614,3846,1,0,1,0,1,0,1,0,1,0,1,0
618,3862,0,0,0,0,1,0,0,0,1,0,0,0
619,3865,1,0,1,0,1,0,1,0,1,0,1,0
620,3869,1,0,0,0,1,0,0,0,1,0,0,0
622,3872,1,0,0,0,1,0,0,0,1,0,0,0
624,3891,1,0,1,0,1,0,1,0,1,0,1,0
631,3920,0,0,1,0,0,0,1,0,0,0,1,0
632,3937,1,0,1,0,1,0,1,0,1,0,1,0
633,3971,1,0,1,0,1,0,1,0,1,0,1,0
637,3991,1,0,1,0,1,0,1,0,1,0,1,0
638,3993,1,0,1,0,1,0,1,0,1,0,1,0
642,4034,0,1,0,0,0,1,0,0,0,1,0,0
653,4099,0,0,0,0,1,0,0,0,1,0,0,0
654,4105,0,1,0,0,0,1,0,0,0,1,0,0
657,4114,0,1,0,0,0,1,0,0,0,1,0,0
658,4130,0,0,1,0,0,0,1,0,0,0,1,0
660,4138,0,1,0,0,0,1,0,0,0,1,0,0
661,4140,0,1,0,0,0,1,0,0,0,1,0,0
665,4163,0,0,0,1,0,0,0,1,0,0,0,1
666,4170,1,0,0,1,0,0,1,0,0,1,0,0
670,4206,1,0,1,0,1,0,1,0,1,0,1,0
673,4239,1,0,1,0,1,0,1,0,1,0,1,0
681,4286,1,0,1,0,1,0,1,0,1,0,1,0
686,4335,0,0,1,0,0,0,1,0,0,0,1,0
