,ID,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
4,32,0,0,0,0,0,0,0,0,0,0,0,0
5,34,0,0,0,1,0,0,0,0,0,1,0,0
7,42,0,0,0,0,0,1,0,0,0,0,0,1
9,70,0,0,0,1,0,0,0,0,0,0,0,0
10,71,0,0,0,1,0,0,0,0,0,1,0,0
11,79,0,0,0,0,0,0,0,0,0,0,0,0
14,103,0,0,0,0,0,0,0,0,0,0,0,0
15,108,1,0,0,0,0,0,0,0,0,0,0,0
18,135,0,0,0,0,0,0,0,0,0,0,0,0
21,140,0,0,0,0,0,0,0,0,0,0,0,0
22,171,0,0,0,0,0,0,0,0,0,0,0,0
27,188,0,0,0,0,0,1,0,0,0,0,0,1
29,221,0,0,0,0,0,0,0,0,0,0,0,0
30,222,0,0,0,0,0,0,0,0,0,0,0,0
31,235,0,0,0,0,0,1,0,0,0,0,0,1
32,238,0,0,0,1,0,0,0,0,0,0,0,0
38,258,0,0,0,0,0,0,0,0,0,0,0,0
43,287,0,1,0,0,0,0,0,1,0,0,0,0
45,296,0,0,0,0,0,0,0,0,0,0,0,0
47,307,0,0,0,1,0,0,0,0,0,1,0,0
49,325,0,0,0,0,0,0,0,0,0,0,0,0
50,326,0,0,0,0,0,0,0,0,0,0,0,0
54,338,0,0,0,0,0,1,0,0,0,0,0,1
57,359,0,0,0,0,0,0,0,0,0,0,0,0
59,365,0,0,0,0,0,0,0,0,0,0,0,0
67,415,0,0,0,0,0,0,0,0,0,0,0,0
75,443,0,0,0,0,0,0,0,0,0,1,0,0
76,449,0,0,0,0,0,0,0,0,1,0,0,0
80,468,0,0,0,1,0,0,0,0,0,1,0,0
81,469,0,0,0,0,0,0,0,0,0,0,0,0
83,480,0,0,0,0,0,0,0,0,0,0,0,0
87,502,0,0,0,0,0,0,0,0,0,0,0,0
88,503,0,0,0,0,0,0,0,0,0,0,0,0
90,514,0,0,0,0,0,1,0,0,0,0,0,1
92,516,0,1,0,0,0,0,0,1,0,0,0,0
95,553,0,0,0,1,0,0,0,0,0,1,0,0
99,602,0,1,0,0,0,0,0,1,0,0,0,0
103,644,0,1,0,0,0,0,0,1,0,0,0,0
108,693,0,0,0,0,0,0,0,0,0,0,0,0
109,700,0,0,0,0,0,0,0,0,0,0,0,0
111,706,0,0,0,0,0,0,0,0,0,0,0,0
115,721,0,0,0,0,0,0,0,0,0,0,0,0
117,744,0,0,0,0,0,1,0,0,0,0,0,1
119,755,0,0,0,0,0,0,0,0,0,0,0,1
123,783,0,1,0,0,0,0,0,1,0,0,0,0
129,827,0,0,0,0,0,0,1,0,0,0,0,0
130,828,0,0,0,0,0,0,1,0,0,0,0,0
131,832,0,0,0,1,0,0,0,0,0,0,0,0
143,883,0,0,0,0,0,0,0,0,1,0,0,0
145,888,0,0,0,0,0,0,0,1,0,0,0,0
147,892,0,0,0,0,0,0,0,0,0,0,0,0
148,897,0,1,0,0,0,0,0,1,0,0,0,0
152,921,0,0,0,0,0,0,0,0,0,0,1,0
156,930,0,0,0,0,0,0,0,0,0,0,0,0
157,932,0,0,0,0,0,0,0,0,0,0,1,0
159,944,0,0,0,0,0,0,0,0,0,0,0,0
162,983,0,0,0,0,0,0,0,0,0,0,0,0
163,984,0,0,0,0,0,0,0,0,0,0,0,0
166,1012,0,0,0,0,0,0,0,0,0,0,0,0
167,1016,0,0,0,0,0,1,0,0,0,0,0,1
168,1023,0,0,0,0,0,0,0,0,0,0,0,0
169,1028,0,0,0,0,0,0,0,0,0,0,0,0
171,1050,0,0,0,0,0,0,0,0,0,0,0,0
172,1056,0,0,0,0,1,0,0,0,0,0,0,0
174,1068,0,0,0,0,0,1,0,0,0,0,0,1
175,1069,1,0,0,0,0,0,0,0,0,0,0,0
176,1071,0,0,0,0,0,0,0,0,0,0,0,0
183,1137,0,1,0,0,0,0,0,1,0,0,0,0
190,1174,0,0,0,0,0,0,0,0,0,0,0,0
191,1180,0,0,0,0,0,0,0,0,0,0,0,0
192,1186,0,0,0,0,0,0,0,0,0,0,1,0
198,1241,0,0,0,0,0,0,0,0,0,0,0,0
201,1279,0,0,0,0,0,1,0,0,0,0,0,1
204,1305,0,0,0,0,0,1,0,0,0,0,0,1
205,1308,0,0,0,0,0,0,1,0,0,0,0,0
207,1325,0,0,0,0,0,0,0,0,0,0,0,0
208,1335,0,0,0,0,0,0,0,0,0,0,0,0
210,1349,0,0,0,1,0,0,0,0,0,1,0,0
211,1355,0,0,0,0,0,0,0,0,0,0,0,0
212,1363,0,0,0,1,0,0,0,0,0,1,0,0
213,1377,0,0,0,0,0,1,0,0,0,0,0,1
214,1378,0,0,0,0,0,1,0,0,0,0,0,1
215,1383,0,0,0,0,0,0,0,0,0,0,0,0
216,1390,0,0,0,0,0,0,0,0,1,0,0,0
217,1394,0,0,0,1,0,0,0,0,0,1,0,0
218,1402,0,0,0,0,0,0,1,0,0,0,0,0
221,1420,0,0,0,0,0,0,0,0,1,0,0,0
222,1426,0,0,0,0,0,0,0,0,0,0,0,0
223,1427,0,0,0,0,0,0,0,0,0,0,0,0
224,1433,0,0,0,0,0,0,0,0,0,0,0,0
229,1453,0,0,0,0,0,0,0,0,0,0,0,0
230,1455,0,0,0,0,0,0,0,0,0,0,0,0
231,1463,0,0,0,0,0,0,0,0,0,0,0,0
232,1480,0,0,0,0,0,0,0,0,0,0,0,0
233,1482,0,0,0,1,0,0,0,0,0,1,0,0
234,1489,0,0,0,0,0,0,0,0,0,0,0,0
244,1549,0,0,0,0,0,0,0,0,0,0,0,0
249,1576,0,1,0,0,0,0,0,1,0,0,0,0
250,1581,0,0,0,0,0,0,0,0,0,0,0,0
261,1685,0,0,0,0,0,0,0,0,0,0,0,0
264,1706,0,0,0,1,0,0,0,0,0,1,0,0
271,1751,0,0,0,0,0,0,0,0,0,0,0,0
272,1766,0,0,0,1,0,0,0,0,0,0,0,0
276,1780,0,0,0,1,0,0,0,0,0,1,0,0
280,1819,0,0,0,1,0,0,0,0,0,1,0,0
282,1827,1,0,0,0,0,0,0,0,0,0,0,0
285,1847,0,0,0,1,0,0,0,0,0,1,0,0
287,1855,0,0,0,1,0,0,0,0,0,1,0,0
288,1857,0,0,0,0,0,0,0,0,0,0,0,0
289,1877,0,1,0,0,0,0,0,1,0,0,0,0
290,1878,0,0,0,0,1,0,0,0,0,0,0,0
291,1901,0,0,0,0,0,1,0,0,0,0,0,1
297,1944,0,0,0,1,0,0,0,0,0,0,0,0
299,1952,0,0,0,0,0,1,0,0,0,0,0,1
303,1969,0,0,0,0,0,0,0,0,0,0,0,0
306,2002,0,0,0,0,0,1,0,0,0,0,0,1
