,ID,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
144,886,0,0,0,0,0,0,0,1,0,0,0,0
727,4678,0,0,0,0,0,0,0,0,0,1,0,0
1378,9082,0,0,0,0,0,0,0,1,0,0,0,0
1583,10534,0,0,0,0,0,0,1,0,0,0,0,0
2008,13485,0,0,0,0,0,0,1,0,0,0,0,0
3719,25040,0,0,0,1,0,0,0,0,0,0,0,0
3937,26371,0,0,0,1,0,0,0,0,0,0,0,0
4524,30342,0,0,0,0,0,0,0,1,0,0,0,0
4586,30805,0,0,0,1,0,0,0,0,0,0,0,0
4722,31628,0,0,0,0,0,0,1,0,0,0,0,0
4860,32590,0,0,0,0,0,0,0,0,0,1,0,0
4921,33059,0,0,0,0,0,0,0,0,0,0,1,0
5040,33936,0,0,0,0,0,0,1,0,0,0,0,0
5532,37204,0,0,0,0,0,0,0,0,0,0,1,0
6348,42515,1,0,0,0,0,0,0,0,0,0,0,0
6473,43212,0,0,0,0,0,0,0,1,0,0,0,0
6532,43550,0,0,0,0,0,1,0,0,0,0,0,1
6610,44143,0,1,0,0,0,0,0,0,0,0,0,0
6626,44302,0,0,0,0,0,1,0,0,0,0,0,0
7303,48827,0,1,0,0,0,0,0,0,0,0,0,0
8761,58580,0,0,1,0,0,0,0,0,0,0,0,0
10535,70474,1,0,0,0,0,0,0,0,0,0,0,0
11097,74340,0,0,0,0,0,0,0,0,1,0,0,0
11328,75815,0,0,0,0,0,1,0,0,0,0,0,0
11419,76468,0,0,1,0,0,0,0,0,0,0,0,0
11528,77188,0,0,0,0,0,0,0,1,0,0,0,0
11616,77762,1,0,0,0,0,0,0,0,0,0,0,0
12284,82356,0,0,0,0,1,0,0,0,1,0,0,0
13182,88742,0,0,0,0,0,0,1,0,0,0,0,0
13289,89544,0,0,0,0,0,0,0,1,0,0,0,0
14159,95305,0,0,0,0,0,0,0,0,1,0,1,0
14165,95338,0,1,0,0,0,0,0,0,0,0,0,0
15574,105552,0,0,0,1,0,0,0,0,0,0,0,0
16359,111399,0,0,0,0,0,0,0,1,0,0,0,0
16731,113927,0,0,0,0,0,0,0,1,0,0,0,0
17462,119380,0,0,0,0,0,0,0,0,1,0,0,0
17551,120006,0,0,0,0,0,0,1,0,0,0,0,0
17707,121191,0,1,0,0,0,0,0,0,0,0,0,0
19111,131129,0,0,1,0,0,0,0,0,0,0,0,0
19170,131582,0,0,0,0,0,0,0,0,0,1,0,0
19286,132327,0,0,0,0,1,0,0,0,0,0,0,0
19819,136343,0,0,0,0,1,0,0,0,0,0,0,0
20513,141669,0,0,0,0,0,0,1,0,0,0,0,0
20849,144061,0,0,1,0,0,0,0,0,0,0,0,0
21257,147174,0,0,0,0,0,0,0,0,0,0,1,0
22277,154766,0,0,0,0,0,0,1,0,0,0,0,0
22706,157733,0,0,1,0,0,0,0,0,0,0,0,0
22869,158918,0,0,0,0,1,0,0,0,0,0,0,1
23982,167052,0,0,0,0,0,0,0,0,0,1,0,0
24211,168765,1,0,0,0,0,0,0,0,0,0,0,0
24290,169310,0,1,0,0,0,0,0,0,0,0,0,0
24702,172338,0,0,0,0,0,0,0,1,0,0,0,0
25169,175680,1,0,0,0,0,0,0,0,0,0,0,0
25401,177317,0,0,0,0,0,0,1,0,0,0,0,0
25591,178640,0,0,0,0,0,0,0,0,1,0,0,0
25626,178858,0,0,0,0,0,0,0,0,0,1,0,0
27329,191456,0,0,0,0,0,0,0,0,1,0,0,0
27575,193227,0,0,0,0,0,0,0,0,0,0,1,0
29090,204252,0,0,0,0,0,0,0,0,1,0,0,0
29217,205344,0,0,0,0,0,0,0,0,0,0,1,0
29357,206368,0,0,0,0,0,0,1,0,0,0,0,0
29856,210072,0,0,0,0,0,0,1,0,0,0,0,0
29953,210777,0,0,0,0,0,1,0,0,0,0,0,0
30114,211966,0,0,0,0,0,0,0,0,0,1,0,0
31077,219104,0,0,1,0,0,0,0,0,0,1,0,0
31540,222549,0,0,0,0,0,1,0,0,0,0,0,0
32413,229013,0,0,0,0,0,0,0,1,0,0,0,0
32971,233222,0,0,0,0,0,0,0,0,1,0,0,0
33025,233578,0,0,0,0,1,0,0,0,0,0,0,0
34016,240444,0,0,0,0,0,1,0,0,0,0,0,0
34054,240727,0,0,0,0,0,0,0,0,0,1,0,0
34485,243816,0,0,0,0,0,1,0,0,0,0,0,0
35193,249152,0,1,0,0,0,0,0,0,0,0,0,0
35330,250090,0,0,0,0,0,0,1,0,0,0,0,0
35856,253939,0,1,0,0,0,0,0,0,0,0,0,0
35928,254394,0,0,0,1,0,0,0,0,0,0,0,0
36456,258236,0,0,0,0,0,1,0,0,0,0,0,0
37546,265831,0,0,0,0,0,0,0,0,0,1,0,0
38189,270551,0,0,1,0,0,0,0,0,0,0,0,0
39842,282095,0,0,0,0,0,0,0,0,0,0,1,0
41099,290919,0,0,0,1,0,0,0,0,0,0,0,0
43567,309388,0,0,1,0,0,0,0,0,0,0,0,0
44578,316680,0,0,0,0,0,0,0,0,1,0,0,0
44965,319558,0,0,0,0,0,1,0,0,0,0,0,0
45414,322505,0,0,0,0,0,1,0,0,0,0,0,0
45915,326060,0,1,0,0,0,0,0,0,0,0,0,0
46216,328143,0,0,0,0,1,0,0,0,0,0,0,0
46314,328991,0,0,0,0,0,0,0,0,1,0,0,0
46434,329796,0,0,0,0,0,0,1,0,0,0,0,0
46946,333491,0,0,0,0,0,0,0,1,0,0,0,0
47094,334538,0,0,0,0,0,0,0,0,1,0,0,0
48049,341457,0,0,0,0,0,0,0,0,0,1,0,0
48388,343983,1,0,0,0,0,0,0,0,0,0,0,0
48471,344555,0,0,1,0,0,0,0,0,0,0,0,0
48666,345950,0,0,0,1,0,0,0,0,0,0,0,0
49352,350799,0,0,1,0,0,0,0,0,0,0,0,0
50310,357601,0,0,0,1,0,0,0,0,0,0,0,0
51580,366730,0,0,0,0,0,0,1,0,0,0,0,0
52265,371510,0,0,0,0,0,1,0,0,0,0,0,0
52327,371966,0,0,0,0,0,1,0,0,0,0,0,0
53393,380530,0,0,0,0,0,0,0,1,0,0,0,0
55742,396451,0,0,1,0,0,0,0,0,0,0,0,0
56378,400821,0,0,0,1,0,0,0,0,0,0,0,0
56461,401412,0,0,0,0,0,0,0,0,0,1,0,0
56622,402612,0,0,0,0,0,0,0,0,1,0,0,0
58316,414344,0,0,0,0,0,0,0,0,1,0,0,0
58684,417136,0,0,1,0,0,0,0,0,0,0,0,0
59063,419762,1,0,0,0,0,0,0,0,0,0,0,0
59379,421964,0,0,1,0,0,0,0,0,0,0,0,0
59642,423856,0,0,0,0,0,0,1,0,0,0,0,0
59756,424736,0,0,1,0,0,0,0,0,0,0,0,0
59861,425409,0,0,0,0,0,0,0,0,1,0,0,0
60135,427295,0,0,0,0,0,0,0,0,0,1,0,0
60542,430043,0,0,0,0,0,0,0,0,0,0,1,0
