,ID,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
44,294,0,0,1,0,0,0,0,0,0,0,0,0
58,360,0,1,0,0,0,0,0,0,0,0,0,0
144,886,0,0,0,0,0,1,0,0,0,0,0,0
284,1831,0,0,0,1,0,0,0,0,0,0,0,0
497,3111,0,0,0,0,0,0,0,0,0,1,0,0
501,3141,0,0,0,1,0,0,0,0,0,0,0,0
727,4678,0,0,0,0,1,0,0,0,0,0,0,0
760,4866,0,0,0,0,0,0,0,0,1,0,0,0
1013,6541,0,1,0,0,0,0,0,0,0,0,0,0
1378,9082,0,0,0,0,0,0,0,0,0,1,0,0
1583,10534,0,0,0,0,1,0,0,0,0,0,0,0
1638,10974,0,0,1,0,0,0,0,0,0,0,0,0
1655,11100,0,0,0,0,0,0,0,0,1,0,0,0
2008,13485,0,0,0,0,0,0,1,0,0,0,0,0
2075,13942,0,0,0,0,0,0,0,0,0,0,1,0
2179,14682,0,0,0,0,0,1,0,0,0,0,0,0
2438,16370,0,0,1,0,0,0,0,0,0,0,0,0
2805,18742,0,0,0,0,0,1,0,0,0,0,0,0
2903,19333,0,0,0,0,0,0,0,0,0,1,0,0
3225,21666,0,0,0,0,0,0,0,0,1,0,0,0
3270,22012,0,0,0,0,1,0,0,0,0,0,0,0
3338,22456,0,0,0,0,0,0,1,0,0,0,0,0
3425,22970,0,0,0,0,0,0,0,0,0,0,1,0
3491,23422,0,0,0,0,1,0,0,0,0,0,0,0
3513,23533,0,0,0,0,0,0,0,0,0,0,1,0
3719,25040,0,0,0,0,0,0,0,1,0,0,0,0
3786,25476,0,0,0,0,0,0,0,0,0,1,0,0
3937,26371,0,1,0,0,0,0,0,0,0,0,0,0
4155,27737,0,1,0,0,0,0,0,0,0,0,0,0
4393,29409,0,0,0,0,0,0,1,0,0,0,0,0
4445,29733,1,0,0,0,0,0,0,0,0,0,0,0
4500,30163,0,0,1,0,0,0,0,0,0,0,0,0
4516,30300,0,1,0,0,0,0,0,0,0,0,0,0
4524,30342,0,0,0,1,0,0,0,0,0,0,0,0
4586,30805,0,0,0,0,0,0,0,1,0,0,0,0
4722,31628,0,0,0,0,0,0,0,0,1,0,0,0
4860,32590,0,0,0,0,0,0,0,0,1,0,0,0
4921,33059,0,1,0,0,0,0,0,0,0,0,0,0
5018,33762,0,0,0,0,0,0,0,0,0,0,1,0
5040,33936,1,0,0,0,0,0,0,0,0,0,0,0
5284,35586,0,0,0,0,0,0,0,0,1,0,0,0
5397,36344,0,0,0,0,0,0,0,0,0,0,1,0
5439,36599,0,0,0,0,0,0,0,1,0,0,0,0
5532,37204,1,0,0,0,0,0,0,0,0,0,0,0
5534,37210,0,0,0,0,0,0,1,0,0,0,0,0
5734,38431,1,0,0,0,0,0,0,0,0,0,0,0
5810,38940,0,0,0,0,0,1,0,0,0,0,0,0
5854,39267,0,0,0,0,0,0,0,0,0,0,1,0
5870,39379,0,0,0,0,0,1,0,0,0,0,0,0
6182,41456,0,0,0,0,0,0,0,0,0,1,0,0
6189,41506,0,0,0,0,1,0,0,0,0,0,0,0
6193,41529,0,0,1,0,0,0,0,0,0,0,0,0
6207,41591,0,0,0,0,0,0,0,0,1,0,0,0
6238,41800,1,0,0,0,0,0,0,0,0,0,0,0
6260,41926,0,0,0,1,0,0,0,0,0,0,0,0
6348,42515,0,0,0,0,0,0,0,0,0,0,1,0
6439,43077,0,0,0,0,0,0,0,0,0,1,0,0
6473,43212,0,1,0,0,0,0,0,0,0,0,0,0
6532,43550,0,0,0,1,0,0,0,0,0,0,1,0
6610,44143,0,0,0,0,0,0,0,1,0,0,0,0
6626,44302,1,0,0,0,0,0,0,0,0,0,0,0
7303,48827,0,0,0,0,0,1,0,0,0,0,0,0
7322,48954,0,0,0,0,0,0,1,0,0,0,0,0
7588,50782,0,0,0,0,0,0,0,0,1,0,0,0
7917,53047,0,0,0,0,1,0,0,0,0,0,0,0
8071,54075,0,0,0,0,0,0,1,0,0,0,0,0
8136,54472,0,0,0,0,0,0,0,1,0,0,0,0
8264,55326,0,0,0,0,0,0,0,1,0,0,0,0
8323,55731,0,1,0,0,0,0,0,0,0,0,0,0
8667,57976,0,0,0,1,0,0,0,0,0,0,0,0
8761,58580,0,0,0,0,0,0,0,0,0,0,1,0
8999,60374,0,0,0,1,0,0,0,0,1,0,0,0
9040,60637,1,0,0,0,0,0,0,0,0,0,0,0
9163,61444,0,0,0,0,0,1,0,0,0,0,0,0
9970,66862,0,0,0,0,0,0,0,0,0,1,0,0
10013,67179,0,0,0,0,0,0,0,1,0,0,0,0
10334,69198,0,0,0,0,0,0,1,0,0,0,0,0
10345,69268,0,0,0,0,0,0,0,0,1,0,0,0
10535,70474,0,0,0,0,0,1,0,0,0,0,0,0
10571,70765,0,0,0,0,0,1,0,0,0,0,0,0
10736,71870,1,0,0,0,0,0,0,0,0,0,0,0
10802,72215,0,0,1,0,0,0,0,0,0,0,0,0
10896,72864,0,0,0,0,0,0,0,0,1,0,0,0
10989,73523,0,0,0,0,0,0,0,0,1,0,0,0
11097,74340,0,0,0,0,0,0,0,0,0,0,1,0
11244,75274,0,0,0,1,0,0,0,0,0,0,0,0
11282,75606,0,0,0,0,0,0,1,0,0,0,0,0
11319,75747,0,0,0,0,1,0,0,0,0,0,0,0
11328,75815,0,1,0,0,0,0,0,0,0,0,0,0
11346,75969,0,0,0,0,1,0,0,0,0,0,0,0
11419,76468,0,0,0,0,0,0,0,0,0,0,1,0
11528,77188,0,0,0,0,0,0,0,1,0,0,0,0
11616,77762,0,1,0,0,0,0,0,0,0,0,0,0
11634,77904,0,0,0,0,0,1,0,0,0,0,0,0
11870,79666,0,0,0,0,1,0,0,0,0,0,0,0
12284,82356,0,0,0,0,0,0,0,1,0,0,1,0
12878,86703,0,0,0,0,0,0,0,1,0,0,0,0
13005,87603,0,0,1,0,0,0,0,0,0,0,0,0
13009,87619,1,0,0,0,0,0,0,0,0,0,0,0
13171,88669,0,1,0,0,0,0,0,0,0,0,0,0
13182,88742,1,0,0,0,0,0,0,0,0,0,0,0
13289,89544,0,0,0,0,0,1,0,0,0,0,0,0
13343,89883,0,0,0,0,0,0,0,0,1,0,0,0
13381,90162,0,0,0,0,0,0,0,0,0,1,0,0
